Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
sf_1600133-PPT.jpg;18.41;19.46;20.77;21.32;21.12;
sf_1600134-PPT.jpg;20.27;21.15;22.18;22.74;23.02;
sf_1600135-PPT.jpg;22.54;22.96;23.18;23.02;22.84;
sf_1673034-PPT.jpg;18.57;19.74;20.78;21.04;21.62;
sf_1673042-PPT.jpg;18.99;19.74;20.24;21.55;21.28;
sf_1858071-PPT.jpg;19.92;21.09;21.75;22.5;20.76;
sf_1858074-PPT.jpg;18.58;20.48;20.33;19.08;19.74;
sf_4387058-PPT.jpg;18.77;18.89;19.64;19.3;19.49;
sf_5110009-PPT.jpg;16.42;16.66;17.54;17.7;17.78;
sf_5360472-PPT.jpg;16.91;17.88;18.16;18.42;18.5;
sf_5361210-PPT.jpg;18.44;20.24;21.07;21.01;21.73;
sf_5367921-PPT.jpg;29.64;29.99;29.4;28.82;28.13;
sf_5367922-PPT.jpg;15.36;24.06;24.54;24.68;24.71;
sf_5367923-PPT.jpg;25.47;25.97;26.69;26.1;25.78;
sf_5367924-PPT.jpg;24.42;25.02;25.85;25.67;25.36;
sf_5383669-PPT.jpg;17.26;18.12;19.12;19.16;19.77;
sf_5383670-PPT.jpg;17.24;17.49;17.78;18.02;18.44;
sf_5438976-PPT.jpg;24.33;24.92;25.14;24.95;25.0;
sf_5438977-PPT.jpg;25.7;26.83;27.22;20.67;26.38;
sf_5438978-PPT.jpg;24.78;25.09;26.34;25.66;24.86;
sf_5507023-PPT.jpg;19.59;21.01;22.5;21.48;21.34;
sf_5507028-PPT.jpg;17.9;18.27;19.29;19.55;19.9;
