Imagem;Corte 5%;Corte 7%;Corte 10%;Corte 13%;Corte 15%;
sf_1600133-PPT.jpg;10.73;10.73;10.72;10.63;10.7;
sf_1600134-PPT.jpg;8.96;8.93;8.93;8.93;8.94;
sf_1600135-PPT.jpg;4.73;4.72;4.7;4.69;4.68;
sf_1673034-PPT.jpg;7.16;7.12;7.1;7.08;7.06;
sf_1673042-PPT.jpg;10.46;10.42;10.3;10.2;10.18;
sf_1858071-PPT.jpg;8.79;8.74;8.68;8.64;8.63;
sf_1858074-PPT.jpg;8.99;8.95;8.9;8.88;8.86;
sf_4387058-PPT.jpg;11.11;11.04;10.92;10.9;10.88;
sf_5110009-PPT.jpg;9.57;9.52;9.43;9.44;9.4;
sf_5360472-PPT.jpg;10.52;10.32;10.27;10.18;10.18;
sf_5361210-PPT.jpg;8.74;8.77;8.68;8.64;8.53;
sf_5367921-PPT.jpg;7.08;7.1;7.08;7.06;7.04;
sf_5367922-PPT.jpg;6.68;6.66;6.66;6.64;6.62;
sf_5367923-PPT.jpg;6.61;6.63;6.56;6.52;6.48;
sf_5367924-PPT.jpg;7.85;7.82;7.8;7.77;7.76;
sf_5383669-PPT.jpg;4.73;4.7;4.62;4.6;4.56;
sf_5383670-PPT.jpg;3.59;3.56;3.55;3.47;3.44;
sf_5438976-PPT.jpg;7.56;7.51;7.5;7.48;7.44;
sf_5438977-PPT.jpg;7.44;7.36;7.23;7.21;7.18;
sf_5438978-PPT.jpg;8.12;8.11;8.07;8.07;8.07;
sf_5507023-PPT.jpg;3.22;3.2;3.08;3.04;2.98;
sf_5507028-PPT.jpg;6.68;6.7;6.62;6.58;6.57;
