Imagem;MSE Ruído Gaussiano;MSE Ruído Spekle;MSE Ruído Sal e Pimenta;
hz_1599992-PPT.jpg;0.039212554262858634;0.03901445775250204;0.030846801898608705;
hz_1599995-PPT.jpg;0.03845173379266688;0.021174648450640977;0.03382055227594254;
hz_1599996-PPT.jpg;0.040089444311157366;0.02377901504792327;0.03212403892508291;
hz_1599997-PPT.jpg;0.0444707517466239;0.03305402298882941;0.03056597330165982;
hz_1600092-PPT.jpg;0.03831515091100779;0.03517786761514501;0.03783749766278295;
hz_1600093-PPT.jpg;0.040057737239733514;0.032703968181558775;0.04054869314836842;
hz_5360671-PPT.jpg;0.04112636497230633;0.02188363338882581;0.029561174356767833;
hz_5360672-PPT.jpg;0.03831602971400722;0.02848795924907187;0.03464381117125925;
hz_5361215-PPT.jpg;0.041418613080380744;0.036576691788464774;0.03105708854467032;
hz_5506206-PPT.jpg;0.043185560438368055;0.026928322339965397;0.032430487269394584;
hz_5506207-PPT.jpg;0.04214484813533256;0.025687109900639177;0.029703186574875046;
hz_5511469-PPT.jpg;0.041749903742325664;0.03523937373471141;0.03049565357412113;
hz_5520223-PPT.jpg;0.04094305112516821;0.028480457627099554;0.0312406654460574;
hz_imagem_64.jpg;0.039362490960883435;0.034538098562226664;0.030519144952136798;
hz_imagem_68.jpg;0.04649086593985786;0.03442226669505118;0.031107685774026218;
sf_1222015-PPT.jpg;0.03566035557049873;0.01681389162972174;0.034016579082038756;
sf_1235063-PPT.jpg;0.04693063421370386;0.03423071533109261;0.028356263873119715;
sf_1235064-PPT.jpg;0.0465468336059148;0.03284292770321211;0.029095756768355324;
sf_1235135-PPT.jpg;0.036221459669958676;0.030880931838115147;0.032879516883154915;
sf_1320022-PPT.jpg;0.03998323117160467;0.02717861200469771;0.03609485665819637;
sf_1327032-PPT.jpg;0.0452059257181733;0.0371211819353584;0.030003451619043758;
sf_1327071-PPT.jpg;0.035888329036233055;0.014445666555531525;0.03432562183114668;
sf_1327072-PPT.jpg;0.04442463817251778;0.027929485222780902;0.029928030844882377;
sf_1327073-PPT.jpg;0.03558298289157115;0.028500774050620556;0.035384553632842534;
sf_1435040-PPT.jpg;0.03297658859423058;0.03252848283825632;0.03542928505750492;
sf_1435163-PPT.jpg;0.04564417808617779;0.025496273781418204;0.029002920441882327;
sf_1481171-PPT.jpg;0.03355352593128244;0.017022486374681612;0.037191638704539724;
sf_1599072-PPT.jpg;0.039503600205975466;0.019239572820549788;0.030803979435869017;
sf_1599073-PPT.jpg;0.04176347227290885;0.030333920969774247;0.031031622969155487;
sf_1599417-PPT.jpg;0.039443448780592194;0.03993493901083718;0.03284734260298022;
sf_1599418-PPT.jpg;0.02415660677759155;0.005608786143325283;0.04524019997379314;
sf_1599419-PPT.jpg;0.039691402166909966;0.02080403199978674;0.03129383783806108;
sf_1599420-PPT.jpg;0.043929655492328676;0.030324609412545653;0.028949874297145326;
sf_1599888-PPT.jpg;0.04498339191394235;0.035507877970236815;0.028754574938124763;
sf_1599889-PPT.jpg;0.044298416483819325;0.03597286636487469;0.028794968196952493;
sf_1599890-PPT.jpg;0.04435820653226824;0.0359645692443261;0.030438430944528545;
sf_1599891-PPT.jpg;0.04242280636691717;0.038417684576319805;0.030399185174797554;
sf_1599892-PPT.jpg;0.04476649371260453;0.03595356038880779;0.029876062964439756;
sf_1599893-PPT.jpg;0.032611716159349775;0.015487633352781983;0.03690306889740424;
sf_1599894-PPT.jpg;0.025569744762756513;0.006882490827596357;0.0406982072231083;
sf_1599998-PPT.jpg;0.04359584833282271;0.03510581492094387;0.031205321608576028;
sf_1599999-PPT.jpg;0.04344766149700536;0.03534816109827049;0.03113233496619389;
sf_1600000-PPT.jpg;0.04060786439748233;0.03809339453650639;0.03372081341536308;
sf_1600001-PPT.jpg;0.038584510952818625;0.025395824838628775;0.0357817010171869;
sf_1600003-PPT.jpg;0.04180276098548335;0.03817776079775507;0.03128779439548491;
sf_1600004-PPT.jpg;0.03780172650880971;0.024729864640402728;0.033407457139756944;
sf_1600005-PPT.jpg;0.03362514074927611;0.026856157008797697;0.03460997807709175;
sf_1600006-PPT.jpg;0.04191459940287389;0.038094833004433386;0.03128637493504602;
sf_1600007-PPT.jpg;0.0374307275615899;0.039371018752553104;0.03263909961388048;
sf_1600008-PPT.jpg;0.03900568521009047;0.02020321632980705;0.03443785048869425;
sf_1600009-PPT.jpg;0.04144611057984009;0.028595385817278815;0.03157889125989703;
sf_1600010-PPT.jpg;0.03775731844610546;0.039769151475694445;0.036293284508962895;
sf_1600011-PPT.jpg;0.04603637484118188;0.030039538391183677;0.0277885409439128;
sf_1600099-PPT.jpg;0.03673912696589053;0.043154605218695935;0.0343762596567426;
sf_1600101-PPT.jpg;0.03719923114006632;0.04329648062982086;0.0339028016662011;
sf_1600102-PPT.jpg;0.04572540412266317;0.03374468775906502;0.029445584659070427;
sf_1600133-PPT.jpg;0.03825608854429487;0.021648686756220562;0.03659087067061047;
sf_1600134-PPT.jpg;0.04620035056378556;0.026807798439152007;0.0278530593983534;
sf_1600135-PPT.jpg;0.04375201479373918;0.03279882657624171;0.02875302782245711;
sf_1673034-PPT.jpg;0.04449688798141039;0.029795888910289912;0.03124625012765523;
sf_1673042-PPT.jpg;0.04030870624617034;0.0172198176576467;0.0329011443540345;
sf_1858071-PPT.jpg;0.03891438966345577;0.023725659620848952;0.031809196545499324;
sf_1858074-PPT.jpg;0.03806408498984765;0.026311978021524175;0.0321904623522203;
sf_4387058-PPT.jpg;0.03023428629838884;0.01541573412644776;0.037447714154787225;
sf_5110009-PPT.jpg;0.03427661090573638;0.020034194001781164;0.03714890306612842;
sf_5360472-PPT.jpg;0.03479685899616433;0.017742705207657514;0.03496425982119257;
sf_5361210-PPT.jpg;0.03991820960538014;0.02365901256240088;0.033803726425082906;
sf_5367921-PPT.jpg;0.04756250201807899;0.031990178572769486;0.026219703941242553;
sf_5367922-PPT.jpg;0.04721117394376562;0.03239664314619077;0.027152452303876515;
sf_5367923-PPT.jpg;0.04596949194908509;0.03260870617107903;0.02695520033610871;
sf_5367924-PPT.jpg;0.0481316329093678;0.03218928623456122;0.026431798175956964;
sf_5383669-PPT.jpg;0.038194665494491305;0.04118292820632389;0.036803682965986635;
sf_5383670-PPT.jpg;0.03515055760930291;0.05173060011286224;0.03977691005074671;
