Imagem;SNR Ruído Gaussiano;SNR Ruído Spekle;SNR Ruído Sal e Pimenta;SNR Ruído Não Estacionário
hz_1224099-PPT.jpg;1.6152472953180572;1.605863204493383;0.20867357592284524;0.5203582435430297
hz_1233154-PPT.jpg;0.26000171593902177;1.5922573544208398;1.81192503219346;2.472113920105988
hz_1234055-PPT.jpg;3.4733989455071272;2.871492402845913;1.386205997231973;1.316363769845874
hz_1234223-PPT.jpg;0.8789222253689077;1.2691799787971345;2.217014182119943;2.1863813323927674
hz_1235128-PPT.jpg;0.6481219188440112;1.9904487443517607;1.9940281510464444;2.5647792835576726
hz_1235134-PPT.jpg;3.178211609744958;2.876595019376142;1.314821496307297;1.5090439219056684
hz_1235167-PPT.jpg;2.0309608364785454;3.333547510593713;3.1910963809925947;4.636123068603595
hz_1236191-PPT.jpg;3.930405192688574;4.121793664250911;4.296238947237381;5.219414727202672
hz_1242061-PPT.jpg;0.9306744754784186;1.7796311226947312;0.6204215736291245;1.813420997800062
hz_1327005-PPT.jpg;4.5089408789745145;5.576836794637019;4.661583808745313;6.946284261436667
hz_1327006-PPT.jpg;4.2630401641125;7.877255893672814;3.154632301300139;5.881349578737767
hz_1327007-PPT.jpg;2.738252843308287;7.315586660744077;1.6192641488104633;4.582043489118889
hz_1327010-PPT.jpg;1.0400147176192427;0.6868083502322855;0.9241308073890171;1.85887391170338
hz_1432033-PPT.jpg;3.463895635198601;1.095073601697565;1.3279436661919897;0.967245308608734
hz_1435039-PPT.jpg;2.8709484956338627;2.878981276040075;3.4795134251656656;3.795963172503818
hz_1435044-PPT.jpg;3.92745422264831;4.6354500535547984;4.368214968469598;5.81424355643793
hz_1435166-PPT.jpg;5.170396145932371;5.972544635444742;4.897598698478842;7.156081245518039
hz_1472066-PPT.jpg;1.9307275224653222;1.5123232158979014;2.488749664300636;3.233889169140674
hz_1472071-PPT.jpg;0.10059607962791518;1.3910213145125072;0.13796255299615656;0.7773523471055389
hz_1472072-PPT.jpg;1.9345696828338106;1.7180957283783136;2.7812864875210974;3.9584970590930353
hz_1481158-PPT.jpg;3.95678581974807;6.641686102110213;3.542914176123497;5.9943927055473925
hz_1599051-PPT.jpg;0.23573424932604142;0.922962694587043;1.3997514528591957;1.5165446489554082
hz_1599057-PPT.jpg;2.443768835664222;1.7523496384167285;0.5214678505480775;0.5586789938163252
hz_1599059-PPT.jpg;2.976764300081818;0.6161732947737946;0.967960812637074;0.48606931520168434
hz_1599060-PPT.jpg;1.0115291450029518;1.0902622539090436;0.7226184701776619;1.4446787204337301
hz_1599434-PPT.jpg;2.84876825407884;0.9711061359713224;0.7080238713384193;0.2773711754875308
hz_1599436-PPT.jpg;3.0757718831083625;1.1545974878102687;0.8093229566909582;0.39750795954993284
hz_1599438-PPT.jpg;2.9758512237537627;1.8848579575917925;0.7654256596193381;0.4188639639160089
hz_1599744-PPT.jpg;0.3439630372841793;6.003517487186258;1.4581568392215625;1.5617681988399157
hz_1599880-PPT.jpg;0.9703072423384334;3.4554142073415264;1.9904005571645018;3.736773678165676
hz_1599958-PPT.jpg;2.4226358206867498;3.753307265164949;3.4250555933517712;5.125783333954381
hz_1599992-PPT.jpg;0.5884266898892426;0.2974893883885298;1.6917603082548207;2.284604566257549
hz_1599995-PPT.jpg;1.802963838821186;4.487929944753763;2.4684165952761674;4.410614532286269
hz_1599996-PPT.jpg;1.521041433527364;3.783592278047517;2.587593188257955;3.319350270447903
hz_1599997-PPT.jpg;0.303882929442691;0.7658153309072958;1.498845848539023;1.9507212773117848
hz_1600092-PPT.jpg;4.411640950979248;4.631622427019638;4.6102990587189785;5.754802003516069
hz_1600093-PPT.jpg;4.430929872783341;5.437463275324269;4.5363792861783105;6.065095919686251
hz_5360671-PPT.jpg;1.2059849455668243;1.6164230304973852;0.3059026716159442;1.2275456986937505
hz_5360672-PPT.jpg;3.5351806014829594;4.744398204091076;4.075754962113552;5.400763354323734
hz_5361215-PPT.jpg;0.668089185377681;0.8574650503271507;1.9825174471912719;2.249922899075804
hz_5506206-PPT.jpg;0.43682718219342936;2.387573308962241;1.755802946996403;2.3509598255224846
hz_5506207-PPT.jpg;0.41446851944740437;2.417304002983361;2.048526219936174;3.0213673541408834
hz_5511469-PPT.jpg;0.381910014951258;0.7937807630447596;1.835579815573722;1.8581536748184107
hz_5520223-PPT.jpg;1.6507909533251208;3.035358267534427;2.9321352154852938;3.3119238559498427
hz_imagem_64.jpg;1.4091272086326714;1.702503601526881;2.5416466184006934;2.319559962001398
hz_imagem_68.jpg;1.65389735596988;0.6677857638456766;0.29120898962355646;0.6673649662887006
sf_1222015-PPT.jpg;2.043427676992658;5.391594600744152;2.2727897946961333;3.6538082813087316
sf_1235063-PPT.jpg;4.138850818903786;3.1304848169861272;1.776200076324087;1.8356992918589983
sf_1235064-PPT.jpg;2.4407687874447137;1.2357599320825872;0.2327756350490549;0.34267838838081593
sf_1235135-PPT.jpg;3.8419064584426783;4.248984097523677;4.306721679083771;5.277518149049467
sf_1320022-PPT.jpg;3.3312262757429507;5.177670971798172;4.011888258182944;5.6226701608519125
sf_1327032-PPT.jpg;3.1420441325425994;2.7222972526933544;1.2058245994917347;1.3366221457674754
sf_1327071-PPT.jpg;1.7397975484324477;2.89681777148826;1.4124623000759802;0.186436353701723
sf_1327072-PPT.jpg;0.7566654066107377;1.0956977457368184;1.0796179921041187;1.3038337360088315
sf_1327073-PPT.jpg;4.576930026213011;5.430023359670378;4.697661714544367;6.443351283797355
sf_1435040-PPT.jpg;5.347044232982128;5.2240558883251484;5.149657281273266;7.457142480622963
sf_1435163-PPT.jpg;3.720550858844676;1.1408893184697106;1.5814796719679702;1.0421964820037437
sf_1481171-PPT.jpg;2.518400600215002;6.003105463830369;2.3308278613833773;4.378501980202253
sf_1599072-PPT.jpg;1.1149866965991397;2.084772156115435;0.042471974576416244;1.4640409513426484
